ID;Version;Course;Price;Level;
0;Individual;Introducción a los Tangos;24,99 €;Payo;
1;Individual;Introducción a las Alegrías;24,99 €;Payo;
2;Individual;Introducción a la Soleá;24,99 €;Payo;
3;Individual;Introducción a los Fandangos;24,99 €;Payo;
4;Individual;Introducción a las Bulerías;24,99 €;Payo;
5;Pack;5 Palos Clave del Flamenco;89,99 €;Payo;
6;Individual;Técnica para Principiantes: Mano Derecha;19,99 €;Payo;
7;Individual;Técnica para Principiantes: Mano Izquierda;19,99 €;Payo;
8;Pack;Técnica para principiantes: Las dos manos;29,99 €;Payo;
9;Individual;Cadencia Andaluza;29,99 €;Payo;
10;Individual;Compás y Palmas: El Pulso Flamenco;29,99 €;Payo;
11;Pack;Deja de ser Payo: El Pack;149,99 €;Payo;
12;Individual;Las Mejores Falsetas por Bulerías;29,99 €;Fenómeno;
13;Individual;Las Mejores Falsetas por Malagueña;29,99 €;Fenómeno;
14;Individual;Las Mejores Falsetas por Seguiriya;29,99 €;Fenómeno;
15;Individual;Las Mejores Falsetas por Tientos-Tangos;29,99 €;Fenómeno;
16;Individual;Las Mejores Falsetas por Soleá;29,99 €;Fenómeno;
17;Pack;Falsetero, falsetero;99,99 €;Fenómeno;
18;Individual;Técnica para Fenómenos: Mano Derecha;24,99 €;Fenómeno;
19;Individual;Técnica para Fenómenos: Mano Izquierda;24,99 €;Fenómeno;
20;Pack;Técnica para Fenómenos: Las Dos Manos;34,99 €;Fenómeno;
21;Individual;Acompaña al Cante: Teoría y Ejemplos;19,99 €;Fenómeno;
22;Individual;Acompaña al Cante: Tangos;49,99 €;Fenómeno;
23;Individual;Acompaña al Cante: Alegrías;49,99 €;Fenómeno;
24;Individual;Acompaña al Cante: Bulerías;49,99 €;Fenómeno;
25;Individual;Acompaña al Cante: Fandangos Naturales y Personales;49,99 €;Fenómeno;
26;Individual;Acompaña al Cante: Fandangos de Huelva y Alosneros;49,99 €;Fenómeno;
27;Individual;Acompaña al Cante: Cantes de Ida y Vuelta;49,99 €;Fenómeno;
28;Pack;Acompaña al Cante: Más que el Cantaor;199,99 €;Fenómeno;
29;Pack;Soy un Fenómeno: El Pack;279,99 €;Fenómeno;
30;Individual;Analiza a los Maestros: Paco de Lucía;49,99 €;Maestro;
31;Individual;Analiza a los Maestros: Javier Arcos;49,99 €;Maestro;
32;Individual;Analiza a los Maestros: Gerardo Núñez;49,99 €;Maestro;
33;Individual;Analiza a los Maestros: Manolo Sanlúcar;49,99 €;Maestro;
34;Pack;Analiza a los Maestros: El Maestro eres Tú;149,99 €;Maestro;
35;Individual;Compón tu Primera Pieza;79,99 €;Maestro;
36;Individual;Armonía e Improvisación;79,99 €;Maestro;
37;Individual;Maestros Invitados: Javier Arcos;99,99 €;Maestro;
38;Individual;Maestros Invitados: Diego del Morao;99,99 €;Maestro;
39;Individual;Maestros Invitados: Joni Jiménez;99,99 €;Maestro;
40;Individual;Maestros Invitados: José del Tomate;99,99 €;Maestro;
41;Individual;Maestros Invitados: Kilino Jiménez;99,99 €;Maestro;
42;Pack;Maestros Invitados: A tu Casa;199,99 €;Maestro;
43;Individual;Toca con los Maestros;99,99 €;Maestro;
44;Pack;Soy un Maestro: El Pack;399,99 €;Maestro;
45;Pack;Descarga completa por nivel;499,99 €;Todos;
